Unnamed: 0,SYMBOL,NAME OF COMPANY,Industry,SECTOR
944,KCPSUGIND.NS,KCP Sugar and Industries Corporation Limited,Others,Others
945,KDDL.NS,KDDL Limited,Others,Others
946,KEC.NS,KEC International Limited,Construction,Construction
947,KECL.NS,Kirloskar Electric Company Limited,Others,Others
948,KEEPLEARN.NS,DSJ Keep Learning Limited,Others,Others
949,KEI.NS,KEI Industries Limited,Capital Goods,Capital Goods
950,KELLTONTEC.NS,Kellton Tech Solutions Limited,Others,Others
951,KERNEX.NS,Kernex Microsystems (India) Limited,Others,Others
952,KESORAMIND.NS,Kesoram Industries Limited,Construction Materials,Construction Materials
953,KEYFINSERV.NS,Keynote Financial Services Limited,Others,Others
954,KFINTECH.NS,Kfin Technologies Limited,Financial Services,Financial Services
955,KHADIM.NS,Khadim India Limited,Others,Others
956,KHAICHEM.NS,Khaitan Chemicals & Fertilizers Limited,Others,Others
957,KHAITANLTD.NS,Khaitan (India) Limited,Others,Others
958,KHANDSE.NS,Khandwala Securities Limited,Others,Others
959,KICL.NS,Kalyani Investment Company Limited,Others,Others
960,KILITCH.NS,Kilitch Drugs (India) Limited,Others,Others
961,KIMS.NS,Krishna Institute of Medical Sciences Limited,Healthcare,Healthcare
962,KINGFA.NS,Kingfa Science & Technology (India) Limited,Others,Others
963,KIOCL.NS,KIOCL Limited,Others,Others
964,KIRIINDUS.NS,Kiri Industries Limited,Others,Others
965,KIRLOSBROS.NS,Kirloskar Brothers Limited,Capital Goods,Capital Goods
966,KIRLOSENG.NS,Kirloskar Oil Engines Limited,Capital Goods,Capital Goods
967,KIRLOSIND.NS,Kirloskar Industries Limited,Others,Others
968,KIRLPNU.NS,Kirloskar Pneumatic Company Limited,Others,Others
969,KITEX.NS,Kitex Garments Limited,Others,Others
970,KKCL.NS,Kewal Kiran Clothing Limited,Others,Others
971,KMSUGAR.NS,K.M.Sugar Mills Limited,Others,Others
972,KNRCON.NS,KNR Constructions Limited,Construction,Construction
973,KOHINOOR.NS,Kohinoor Foods Limited,Others,Others
974,KOKUYOCMLN.NS,Kokuyo Camlin Limited,Others,Others
975,KOLTEPATIL.NS,Kolte - Patil Developers Limited,Realty,Realty
976,KOPRAN.NS,Kopran Limited,Others,Others
977,KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Financial Services
978,KOTARISUG.NS,Kothari Sugars And Chemicals Limited,Others,Others
979,KOTHARIPET.NS,Kothari Petrochemicals Limited,Others,Others
980,KOTHARIPRO.NS,Kothari Products Limited,Others,Others
981,KPIGREEN.NS,KPI Green Energy Limited,Power,Power
982,KPIL.NS,Kalpataru Projects International Limited,Construction,Construction
983,KPITTECH.NS,KPIT Technologies Limited,Information Technology,Information Technology
984,KPRMILL.NS,K.P.R. Mill Limited,Textiles,Textiles
985,KRBL.NS,KRBL Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods
986,KREBSBIO.NS,Krebs Biochemicals and Industries Limited,Others,Others
987,KRIDHANINF.NS,Kridhan Infra Limited,Others,Others
988,KRISHANA.NS,Krishana Phoschem Limited,Others,Others
989,KRITI.NS,Kriti Industries (India) Limited,Others,Others
990,KRITIKA.NS,Kritika Wires Limited,Others,Others
991,KRITINUT.NS,Kriti Nutrients Limited,Others,Others
992,KRONOX.NS,Kronox Lab Sciences Limited,Others,Others
993,KRSNAA.NS,Krsnaa Diagnostics Limited,Healthcare,Healthcare
994,KRYSTAL.NS,Krystal Integrated Services Limited,Others,Others
995,KSB.NS,Ksb Limited,Capital Goods,Capital Goods
996,KSCL.NS,Kaveri Seed Company Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods
997,KSHITIJPOL.NS,Kshitij Polyline Limited,Others,Others
998,KSL.NS,Kalyani Steels Limited,Others,Others
999,KSOLVES.NS,Ksolves India Limited,Others,Others
1000,KTKBANK.NS,The Karnataka Bank Limited,Financial Services,Financial Services
1001,KUANTUM.NS,Kuantum Papers Limited,Others,Others
1002,LAGNAM.NS,Lagnam Spintex Limited,Others,Others
1003,LAKPRE.NS,Lakshmi Precision Screws Limited,Others,Others
1004,LAL.NS,Lorenzini Apparels Limited,Others,Others
1005,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,Healthcare
1006,LAMBODHARA.NS,Lambodhara Textiles Limited,Others,Others
1007,LANCORHOL.NS,Lancor Holdings Limited,Others,Others
1008,LANDMARK.NS,Landmark Cars Limited,Automobile and Auto Components,Automobile and Auto Components
1009,LAOPALA.NS,La Opala RG Limited,Consumer Durables,Consumer Durables
1010,LASA.NS,Lasa Supergenerics Limited,Others,Others
1011,LATENTVIEW.NS,Latent View Analytics Limited,Information Technology,Information Technology
1012,LATTEYS.NS,Latteys Industries Limited,Others,Others
1013,LAURUSLABS.NS,Laurus Labs Limited,Healthcare,Healthcare
1014,LAXMICOT.NS,Laxmi Cotspin Limited,Others,Others
1015,LAXMIMACH.NS,Lakshmi Machine Works Limited,Others,Others
1016,LCCINFOTEC.NS,LCC Infotech Limited,Others,Others
1017,LEMONTREE.NS,Lemon Tree Hotels Limited,Consumer Services,Consumer Services
1018,LEXUS.NS,Lexus Granito (India) Limited,Others,Others
1019,LFIC.NS,Lakshmi Finance & Industrial Corporation Limited,Others,Others
1020,LGBBROSLTD.NS,LG Balakrishnan & Bros Limited,Automobile and Auto Components,Automobile and Auto Components
1021,LGHL.NS,Laxmi Goldorna House Limited,Others,Others
